Rank,Model,Mean scores,ar,de,de-en,de-fr,de-pl,en,es,es-en,es-it,fr,fr-pl,it,pl,pl-en,ru,tr,zh,zh-en
141,sentence-transformers/all-mpnet-base-v2,46.16,41.85,27.00,53.81,29.62,23.53,68.39,60.97,57.00,41.80,77.30,73.25,57.83,29.04,53.63,18.51,31.08,46.28,40.07
142,intfloat/e5-small-v2,45.84,34.50,33.32,51.12,36.32,12.96,66.30,64.23,66.91,52.75,75.01,16.90,67.87,31.38,54.01,21.30,46.95,55.37,37.84
143,jinaai/jina-embedding-s-en-v1,44.41,38.18,34.05,60.39,49.44,36.46,67.20,60.43,64.04,46.73,75.95,39.44,56.36,28.62,43.13,16.05,43.37,35.37,4.26
144,deepvk/USER-base,43.52,17.83,18.13,51.27,43.48,4.65,61.64,61.88,62.56,54.01,63.88,39.44,50.57,29.57,69.82,63.39,47.10,17.46,26.72
145,Snowflake/snowflake-arctic-embed-l,43.44,29.15,44.96,54.74,46.72,8.71,69.84,66.52,64.81,51.87,75.69,50.71,66.20,35.41,10.26,13.93,48.71,37.90,5.86
146,ai-forever/ru-en-RoSBERTa,43.31,17.63,22.12,46.37,30.97,24.54,66.33,57.15,56.45,42.27,67.45,50.71,57.80,28.55,54.07,71.83,39.47,15.16,30.65
147,avsolatorio/GIST-all-MiniLM-L6-v2,43.29,11.00,39.07,48.84,43.45,12.66,68.39,63.52,64.61,52.59,77.40,28.17,64.96,33.07,43.80,14.02,34.52,50.42,28.72
148,aari1995/German_Semantic_STS_V2,42.67,21.71,50.64,51.66,45.46,17.64,60.22,61.00,56.09,54.75,61.14,61.98,60.39,24.85,46.05,25.49,33.20,15.74,20.12
149,brahmairesearch/slx-v0.1,41.79,25.18,31.04,46.47,28.31,-4.93,67.71,59.69,55.12,44.67,77.21,50.71,60.23,31.73,34.64,17.36,35.55,49.19,42.29
150,sentence-transformers/all-MiniLM-L6-v2,41.79,25.18,31.04,46.47,28.31,-4.93,67.71,59.69,55.12,44.67,77.21,50.71,60.23,31.73,34.64,17.36,35.55,49.19,42.29
151,consciousAI/cai-lunaris-text-embeddings,41.73,22.91,26.26,48.38,46.61,27.28,66.35,57.12,62.18,39.60,74.43,28.17,58.73,28.64,58.95,9.84,31.79,32.83,31.09
152,Snowflake/snowflake-arctic-embed-m-v1.5,41.15,28.51,25.84,53.22,29.78,20.48,69.59,59.32,71.61,40.63,69.41,39.44,63.19,33.89,12.34,11.85,49.11,35.65,26.81
153,Mihaiii/Wartortle,38.55,29.34,31.20,40.89,25.74,25.53,63.43,61.75,29.03,48.55,67.35,28.17,62.28,31.32,33.04,23.24,32.55,48.96,11.51
154,Snowflake/snowflake-arctic-embed-xs,38.14,21.35,25.03,48.43,24.33,17.74,68.87,62.05,65.87,44.82,69.18,50.71,54.39,30.73,10.54,13.55,25.70,41.70,11.60
155,Snowflake/snowflake-arctic-embed-m-long,37.56,27.42,28.26,38.46,26.64,22.45,66.84,61.94,47.00,30.11,62.70,39.44,65.84,16.62,19.52,11.28,43.43,49.53,18.63
156,Mihaiii/gte-micro-v4,37.38,19.57,25.72,35.19,21.49,37.26,65.42,61.73,31.62,41.21,61.07,39.44,58.42,27.12,23.52,13.13,35.17,48.68,27.04
157,sentence-transformers/all-MiniLM-L12-v2,36.73,19.97,22.53,44.15,42.19,1.63,66.00,48.43,55.51,40.95,69.15,16.90,47.24,23.77,45.00,13.67,23.24,36.67,44.14
158,Omartificial-Intelligence-Space/Arabic-Triplet-Matryoshka-V2,36.65,63.96,24.88,32.80,20.46,22.54,57.83,43.70,50.00,42.25,63.86,16.90,40.66,28.62,42.23,19.91,50.83,24.58,13.75
159,Mihaiii/Venusaur,36.37,41.63,29.15,37.66,17.24,24.64,62.56,61.26,30.19,42.77,63.26,28.17,60.09,28.45,22.85,16.57,29.81,46.67,11.69
160,Mihaiii/Bulbasaur,36.06,19.32,25.67,39.02,21.63,27.99,64.12,62.80,29.60,41.20,61.36,39.44,58.83,25.32,16.92,17.03,34.69,42.35,21.70
161,Mihaiii/Squirtle,35.44,31.70,29.24,36.82,20.80,2.68,61.20,60.32,29.40,41.10,66.66,28.17,61.36,30.06,21.40,26.54,31.23,48.95,10.30
162,Jaume/gemma-2b-embeddings,35.42,53.40,31.98,18.88,15.22,15.43,59.25,58.96,1.55,35.86,59.25,16.90,60.34,31.28,8.61,58.52,25.49,68.72,17.91
163,Snowflake/snowflake-arctic-embed-m,35.32,21.28,34.49,41.70,33.82,27.16,67.21,61.69,56.60,45.46,70.36,-16.90,63.41,31.34,-2.17,16.21,36.52,41.47,6.06
164,DeepPavlov/rubert-base-cased-sentence,34.58,27.14,25.32,40.76,28.45,34.06,52.22,44.05,45.73,27.21,57.57,5.63,46.20,17.60,25.43,55.47,16.05,44.51,29.10
165,Omartificial-Intelligence-Space/Arabert-all-nli-triplet-Matryoshka,34.30,61.62,23.44,34.03,24.42,15.74,55.97,53.50,44.77,44.93,53.74,-16.90,45.05,23.38,37.53,20.72,51.04,30.12,14.36
166,minishlab/M2V_base_glove,33.99,34.67,30.56,29.75,15.02,20.29,59.21,55.98,22.10,40.55,52.53,28.17,60.08,24.12,31.93,24.83,38.64,36.18,7.15
167,sergeyzh/rubert-tiny-turbo,33.36,30.62,8.16,24.64,15.49,25.53,47.06,49.70,44.05,32.61,39.94,39.44,39.41,13.76,44.11,60.06,16.86,36.29,32.83
168,minishlab/M2V_base_output,32.02,46.65,36.52,24.60,1.04,9.42,57.82,56.24,12.14,27.59,66.05,-5.63,59.76,31.40,15.35,30.70,31.08,62.26,13.33
169,minishlab/potion-base-8M,31.67,47.18,36.72,34.11,8.82,5.27,63.08,58.75,12.09,33.76,67.91,-61.98,61.55,32.32,21.74,32.16,30.53,64.14,21.99
170,minishlab/potion-base-2M,31.55,46.04,35.81,23.11,-4.63,3.66,62.65,56.28,11.09,25.61,65.72,-5.63,59.33,30.02,15.20,31.71,31.55,64.10,16.26
171,minishlab/potion-base-4M,30.91,47.22,36.72,29.41,5.25,-1.11,63.36,57.60,10.88,32.55,66.83,-50.71,61.05,31.14,18.63,31.48,31.03,64.33,20.75
172,minishlab/M2V_base_glove_subword,30.87,48.26,37.39,26.05,-8.74,33.29,59.04,59.53,19.91,34.98,62.10,-39.44,59.36,30.47,-0.98,31.27,28.17,62.48,12.59
173,Mihaiii/gte-micro,30.39,17.52,27.93,31.94,17.03,8.01,58.47,55.13,26.63,36.10,58.79,16.90,50.89,24.60,17.09,8.00,27.77,41.04,23.18
174,Omartificial-Intelligence-Space/Arabic-mpnet-base-all-nli-triplet,29.76,55.66,31.15,25.36,9.54,20.39,57.29,57.62,25.48,27.48,60.04,-39.44,50.84,24.26,23.74,29.27,25.80,33.97,17.19
175,cointegrated/rubert-tiny2,28.40,23.90,14.60,20.20,11.07,1.20,49.25,48.86,20.47,26.41,40.68,28.17,43.58,13.31,28.64,54.38,22.05,38.72,25.67
176,ai-forever/sbert_large_nlu_ru,27.51,26.72,14.12,22.97,28.09,-20.42,57.74,43.10,13.99,28.49,54.07,50.71,39.09,14.32,8.60,54.92,30.80,23.41,4.40
177,Omartificial-Intelligence-Space/Marbert-all-nli-triplet-Matryoshka,27.26,61.32,7.44,26.12,3.39,-9.58,54.64,46.79,14.22,33.21,46.38,50.71,38.18,9.53,15.94,20.23,26.07,33.21,12.91
178,cointegrated/rubert-tiny,25.27,21.09,18.79,26.70,7.98,-5.36,52.63,51.83,28.44,32.00,44.03,-5.63,46.54,12.55,18.42,51.93,22.24,30.05,0.60
179,DeepPavlov/distilrubert-small-cased-conversational,24.74,29.35,23.32,31.99,-0.81,-29.47,44.27,42.04,22.11,19.67,49.44,39.44,38.14,21.13,16.36,56.09,11.83,20.69,9.78
180,malenia1/ternary-weight-embedding,24.65,27.15,30.59,30.81,-5.28,-4.62,33.81,47.08,24.17,21.01,51.69,-16.90,42.16,15.98,33.34,20.18,22.89,57.01,12.59
181,DeepPavlov/rubert-base-cased,24.32,25.29,24.23,26.98,14.99,-25.81,38.33,40.12,22.11,18.99,42.74,39.44,30.22,9.55,33.75,38.48,13.69,36.44,8.25
182,ai-forever/sbert_large_mt_nlu_ru,22.56,26.30,17.08,27.94,14.27,-22.02,51.46,42.00,24.23,27.46,33.94,-28.17,36.43,9.33,30.91,61.22,27.52,16.50,9.75
183,deepvk/deberta-v1-base,21.16,31.43,9.45,33.42,-3.63,-14.13,44.81,42.82,21.39,23.73,16.69,16.90,31.72,17.35,18.56,47.67,10.73,14.71,17.34
184,jinaai/jina-embeddings-v2-small-en,17.58,25.33,9.70,6.60,-13.65,-11.18,47.58,37.16,21.71,22.24,35.05,-16.90,37.06,6.10,18.69,16.33,21.87,35.54,17.13
185,encord-team/ebind-full,16.22,-1.66,-1.37,44.16,25.50,19.74,48.44,26.70,38.99,32.32,32.80,-28.17,8.84,7.66,13.33,-9.07,11.62,2.86,19.24
186,Tevatron/OmniEmbed-v0.1,14.90,17.37,-15.35,-0.50,-5.75,-41.05,34.83,17.23,16.41,32.18,12.89,50.71,20.78,-5.35,32.03,24.82,8.60,29.02,39.36
187,Haon-Chen/e5-omni-7B,7.63,6.30,-22.06,-5.66,-11.28,-40.25,29.98,11.96,8.97,30.77,4.56,16.90,15.19,-8.28,23.95,17.80,2.64,22.44,33.41
188,mteb/baseline-random-encoder,2.72,-3.60,-1.50,2.60,-18.70,-3.54,11.97,2.38,-0.79,5.58,-10.90,39.44,13.60,-2.80,17.76,4.89,-11.36,-3.81,7.65
189,jinaai/jina-embeddings-v2-base-en,-1.05,7.67,2.81,6.16,-1.94,-22.60,7.90,0.67,10.41,5.83,6.87,-28.17,15.09,-3.62,-28.16,3.45,4.07,4.12,-9.40
190,ai-sage/Giga-Embeddings-instruct,,,,60.59,,,67.46,,80.51,,,,,,68.26,,,,73.05
191,annamodels/LGAI-Embedding-Preview,,,,,,,74.97,,,,,,,,,,,,
192,ByteDance-Seed/Seed1.5-Embedding,,,,,,,72.40,,,,,,,,,,,72.99,
193,Bytedance/Seed1.6-embedding,,,,,,,72.86,,,,,,,,,,,,
194,codefuse-ai/F2LLM-0.6B,,,,,,,64.46,,,,,,,,,,,,
195,codefuse-ai/F2LLM-1.7B,,,,,,,66.83,,,,,,,,,,,,
196,codefuse-ai/F2LLM-4B,,,,,,,66.54,,,,,,,,,,,,
197,GeoGPT-Research-Project/GeoEmbedding,,,,,,,71.70,,,,,,,,,,,,
198,google/text-embedding-004,,,,,,,68.64,,,,,,,,,,,,
199,google/text-embedding-005,,,,,,,69.56,,,,,,,,,,,,
200,ibm-granite/granite-embedding-english-r2,,,,,,,68.47,,,,,,,,,,,,
201,ibm-granite/granite-embedding-small-english-r2,,,,,,,66.85,,,,,,,,,,,,
202,IEITYuan/Yuan-embedding-2.0-en,,,,,,,70.82,,,,,,,,,,,,
203,infgrad/Jasper-Token-Compression-600M,,,,,,,73.30,,,,,,,,,,,,
204,jcorners/ingot-8b-r3,,,,,,,73.05,,,,,,,,,,,,
205,KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,,,,63.36,,,67.21,,80.78,,,,,,82.14,,,,72.69
206,ManiacLabs/miniac-embed,,,,,,,70.02,,,,,,,,,,,,
207,minishlab/potion-base-32M,,,,,,,64.26,,,,,,,,,,,,
208,minishlab/potion-retrieval-32M,,,,,,,67.66,,,,,,,,,,,,
209,MongoDB/mdbr-leaf-mt,,,,,,,69.23,,,,,,,,,,,,
210,prdev/mini-gte,,,,,,,68.33,,,,,,,,,,,,
211,sentence-transformers/static-retrieval-mrl-en-v1,,,,,,,65.33,,,,,,,,,,,,
212,silma-ai/silma-embeddding-matryoshka-v0.1,,60.01,,30.70,,,59.04,,53.23,,,,,,38.52,,,,16.78
213,Tarka-AIR/Tarka-Embedding-150M-V1,,,,,,,65.23,,,,,,,,,,,,
214,Tarka-AIR/Tarka-Embedding-350M-V1,,,,,,,68.08,,,,,,,,,,,,
215,voyageai/voyage-2,,,,,,,65.39,,,,,,,,,,,,
216,voyageai/voyage-3-m-exp,,,,,,,68.34,,,,,,,,,,,,
217,voyageai/voyage-code-3,,,,,,,67.07,,,,,,,,,,,,
218,voyageai/voyage-finance-2,,,,,,,67.14,,,,,,,,,,,,
219,VPLabs/SearchMap_Preview,,,,58.31,,,69.43,,80.68,,,,,,77.19,,,,65.70
