Rank,Model,Mean scores,ar,de,de-en,de-fr,de-pl,en,es,es-en,es-it,fr,fr-pl,it,pl,pl-en,ru,tr,zh,zh-en
33,NovaSearch/jasper_en_vision_language_v1,69.84,62.11,55.05,64.49,64.14,54.60,67.20,74.03,81.36,76.34,81.21,84.52,78.79,43.40,82.64,68.14,69.02,74.24,75.92
34,Linq-AI-Research/Linq-Embed-Mistral,69.71,58.36,56.07,62.27,63.55,59.12,68.55,73.06,81.35,77.74,81.38,84.52,78.30,47.30,78.01,68.65,71.91,71.28,73.43
35,codefuse-ai/F2LLM-v2-0.6B,69.65,64.37,62.72,60.56,68.36,47.55,64.40,71.23,79.87,77.56,83.94,84.52,78.87,45.55,78.76,66.68,68.64,75.07,74.99
36,jinaai/jina-embeddings-v5-omni-nano,69.62,71.60,64.53,62.43,70.74,51.09,70.43,71.63,78.64,71.70,85.37,84.52,77.05,45.05,72.57,67.54,69.25,72.04,66.99
37,jinaai/jina-embeddings-v5-text-nano,69.62,71.60,64.53,62.43,70.74,51.09,70.43,71.63,78.64,71.70,85.37,84.52,77.05,45.05,72.57,67.54,69.25,72.04,66.99
38,codefuse-ai/F2LLM-v2-8B,69.59,65.70,63.76,61.05,65.19,47.15,68.66,69.83,80.03,74.33,84.53,73.25,79.75,45.33,84.26,68.19,70.88,75.70,75.11
39,codefuse-ai/F2LLM-v2-330M,69.44,63.50,59.65,60.03,62.88,46.62,66.05,71.94,80.29,78.73,83.20,84.52,77.77,46.74,81.02,67.66,68.81,74.36,76.17
40,Alibaba-NLP/gte-Qwen2-1.5B-instruct,69.40,61.79,58.11,62.36,64.29,56.82,66.92,71.81,80.97,76.73,81.99,84.52,76.93,46.37,80.20,66.98,67.18,72.57,72.63
41,GritLM/GritLM-7B,69.38,55.44,59.34,62.33,62.14,55.09,68.59,72.24,80.76,77.62,83.09,84.52,77.58,48.07,77.77,68.47,70.82,72.29,72.73
42,Cohere/Cohere-embed-multilingual-v3.0,69.36,63.92,61.70,64.16,65.15,55.89,69.63,74.22,82.60,79.65,83.30,50.71,79.72,47.24,81.79,70.13,69.08,74.28,75.31
43,Alibaba-NLP/gte-Qwen2-7B-instruct,69.34,59.88,57.74,61.20,64.20,54.60,67.26,72.50,81.02,77.43,82.61,84.52,78.32,46.44,77.72,68.52,69.90,71.49,72.76
44,openai/text-embedding-3-large,69.29,59.06,60.56,63.82,62.05,56.14,66.89,72.74,80.07,76.78,81.55,84.52,78.59,43.09,77.61,67.36,69.32,72.36,74.80
45,BidirLM/BidirLM-1.7B-Embedding,69.25,61.32,55.32,63.06,71.91,51.64,66.09,74.79,80.33,76.17,80.73,84.52,77.26,43.51,79.35,67.61,66.30,72.15,74.40
46,Snowflake/snowflake-arctic-embed-m-v2.0,69.04,62.03,62.28,59.28,57.63,43.79,68.60,75.75,82.19,78.32,84.36,84.52,80.87,46.71,81.00,67.56,63.78,72.65,71.49
47,voyageai/voyage-multilingual-2,69.03,61.75,64.73,66.34,66.02,54.14,67.02,75.10,82.94,77.73,81.59,50.71,80.45,47.94,81.82,68.49,69.55,70.96,75.35
48,Bytedance/Seed1.6-embedding-1215,69.00,62.93,63.29,62.99,63.08,57.86,71.28,75.80,83.57,75.28,82.15,61.98,78.19,43.44,71.11,69.51,70.86,72.96,75.72
49,NovaSearch/stella_en_1.5B_v5,68.98,60.47,55.08,60.57,65.95,54.20,66.99,72.10,80.87,77.37,81.87,84.52,78.29,43.35,77.91,67.19,68.29,73.54,73.13
50,intfloat/multilingual-e5-large-instruct,68.95,62.78,61.45,60.22,65.97,56.08,68.17,73.71,81.52,77.23,82.76,61.98,79.41,46.50,78.06,70.10,69.74,73.11,72.34
51,manu/bge-m3-custom-fr,68.89,63.97,54.70,63.94,60.50,52.66,66.49,74.72,80.81,76.83,82.14,73.25,80.52,45.77,75.23,71.35,69.64,71.95,75.61
52,Salesforce/SFR-Embedding-Mistral,68.89,58.31,52.72,62.44,62.36,58.39,68.63,72.72,79.75,78.00,81.39,84.52,76.72,46.08,76.42,66.75,71.32,70.10,73.35
53,Alibaba-NLP/gte-Qwen1.5-7B-instruct,68.80,62.19,55.27,57.68,66.52,53.46,67.10,72.60,80.00,77.11,82.23,84.52,77.39,45.77,79.04,64.93,67.96,73.38,71.21
54,Alibaba-NLP/gte-multilingual-base,68.79,61.45,60.88,63.80,54.93,53.64,67.23,75.56,81.56,76.78,81.23,73.25,78.25,46.80,80.85,69.89,66.94,70.97,74.11
55,Snowflake/snowflake-arctic-embed-l-v2.0,68.69,63.29,60.31,61.34,60.14,44.53,67.86,76.13,81.52,77.85,83.74,61.98,80.54,48.02,81.19,69.62,70.18,74.47,73.65
56,Cohere/Cohere-embed-multilingual-light-v3.0,68.62,61.35,60.00,56.64,64.22,46.31,67.50,72.92,80.31,76.27,83.38,84.52,78.33,44.69,82.70,68.08,68.61,72.63,66.74
57,voyageai/voyage-3-lite,68.52,64.27,61.58,62.88,58.85,48.90,66.93,73.75,81.94,77.58,80.32,73.25,78.29,45.79,73.86,69.48,67.73,73.47,74.57
58,Lajavaness/bilingual-embedding-small,68.37,59.91,58.63,56.87,63.79,49.70,65.62,73.90,80.29,77.66,83.49,84.52,78.21,44.01,75.72,67.37,68.11,72.75,70.10
59,ICT-TIME-and-Querit/ICT-TIME-and-Querit-embedding-v1,68.32,60.68,51.81,60.53,64.37,55.40,66.42,72.74,81.13,77.70,81.13,73.25,77.68,44.62,78.78,68.15,70.42,70.89,73.99
60,BidirLM/BidirLM-1B-Embedding,68.21,61.79,56.65,61.83,62.11,51.76,67.56,74.59,80.18,74.03,79.21,73.25,76.05,44.63,78.44,67.46,69.72,73.51,74.94
61,codefuse-ai/F2LLM-v2-14B,68.16,64.94,63.97,60.84,64.17,44.65,66.69,67.81,79.35,70.25,83.19,73.25,78.75,43.69,79.14,66.17,70.86,74.83,74.36
62,Haon-Chen/e5-omni-3B,68.14,65.70,57.58,62.72,61.51,57.00,69.14,73.34,77.91,73.59,77.02,61.98,77.39,45.79,78.07,70.60,68.23,73.85,75.15
